Start	End	Direction	Weight
AKT1	HD	0	1
AKT1	NR4A1	0	1
AKT1	HSPCA	0	1
AKT1	ILK	0	1
AKT1	IMPDH2	0	1
AKT1	IRAK1	0	1
AKT1	IRS1	0	1
AKT1	KRT10	0	1
AKT1	MDM2	0	1
AKT1	MAP3K11	0	1
AKT1	MLLT7	0	1
AKT1	MTCP1	0	1
AKT1	NCF1	0	1
AKT1	PDPK1	0	1
AKT1	PKN2	0	1
AKT1	PRKCQ	0	1
AKT1	PRKCZ	0	1
AKT1	PTPN1	0	1
AKT1	RAF1	0	1
AKT1	RPS6KB1	0	1
AKT1	MAP2K4	0	1
AKT1	TSC1	0	1
AKT1	TSC2	0	1
AKT1	YWHAZ	0	1
AKT1	TCL1A	0	1
AKT1	TNFSF11	0	1
AKT1	PEA15	0	1
AKT1	MAPK8IP1	0	1
AKT1	TCL1B	0	1
AKT1	GAB2	0	1
AKT1	TCL6	0	1
AKT1	TRIB3	0	1
AKT1	FTS	0	1
AKT2	CHUK	0	1
AKT2	GSK3B	0	1
AKT2	MTCP1	0	1
AKT2	SLC2A4	0	1
AKT2	TCL1A	0	1
AKT2	TCL1B	0	1
AKT2	APPL	0	1
AKT2	TRIB3	0	1
ALAS2	SUCLA2	0	1
ALB	AMBP	0	1
ALB	APOE	0	1
ALB	CRYAA	0	1
ALB	FCGRT	0	1
ALB	LRP2	0	1
ALB	ORM1	0	1
ALB	PON1	0	1
ALB	PRG1	0	1
ALB	RBP4	0	1
ALB	TCF1	0	1
ALB	CUBN	0	1
ALB	LUC7L2	0	1
ALCAM	CD6	0	1
ABCD1	ABCD2	0	1
ABCD1	PEX19	0	1
ABCD1	ABCD3	0	1
ALDH2	CRMP1	0	1
ALDH2	HSPD1	0	1
ALDH2	HSPE1	0	1
ALDH2	ITGB4BP	0	1
ALDH2	UNC119	0	1
ALDH2	C14orf1	0	1
ALDH2	C2orf18	0	1
ALDH2	FAM45B	0	1
ALDH2	IGSF21	0	1
ABCD2	PEX19	0	1
ABCD2	ABCD3	0	1
ALDOA	ATP6V1E1	0	1
